id,full_name,web_name,team_name,position,now_cost_millions,total_points,points_per_game,selected_by_percent,form,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_next_round,news,ep_next,ep_this
118,Jayden Meghoma,Meghoma,Brentford,Defender,4.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,279,10999,u,0.0,Has joined Rangers on loan for the rest of the season.,0.0,0.0
120,Kevin Schade,Schade,Brentford,Midfielder,6.9,99,3.7,2.0,3.2,2130,7,4,8,26,6,1,5,327,478.2,326.2,673.0,147.4,5292,2534,899131,706195,a,100.0,,3.2,3.7
121,Mikkel Damsgaard,Damsgaard,Brentford,Midfielder,5.6,87,3.3,1.0,6.0,1566,3,4,3,26,0,0,6,365,423.0,534.6,253.0,121.2,5402,1681,177406,179185,a,100.0,,6.0,6.5
122,Antoni Milambo,Milambo,Brentford,Midfielder,5.2,1,1.0,0.0,0.0,45,0,0,0,3,0,0,0,5,4.0,1.8,0.0,0.6,4,2,2052,6966,i,0.0,Knee injury - Expected back 01 Jun,0.0,0.0
123,Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,Midfielder,4.7,13,2.2,0.1,0.0,100,1,0,0,4,0,0,1,42,39.0,6.5,36.0,8.1,4,12,27254,51495,i,0.0,Knee injury - Expected back 01 Jun,0.0,0.0
124,Jordan Henderson,Henderson,Brentford,Midfielder,5.0,70,2.5,0.3,2.0,1724,1,3,5,26,4,0,5,321,305.4,333.9,45.0,68.4,169,230,99698,101762,a,100.0,,2.0,2.5
125,Vitaly Janelt,Janelt,Brentford,Midfielder,4.9,70,3.2,0.2,0.2,1253,1,4,5,16,7,0,6,300,329.0,313.6,91.0,72.5,2,928,67511,51200,i,0.0,Foot injury - Expected back 11 Apr,0.0,0.0
126,Mathias Jensen,Jensen,Brentford,Midfielder,4.9,67,2.4,0.1,2.5,1555,2,2,6,23,3,0,0,326,284.6,400.2,153.0,83.7,121,94,19033,19158,a,,,2.5,3.0
127,Gustavo Nunes Fernandes Gomes,Nunes,Brentford,Midfielder,4.9,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1544,2318,u,0.0,has joined Swansea City on loan for the rest of the season.,0.0,0.0
128,Frank Onyeka,Onyeka,Brentford,Midfielder,4.8,12,2.0,0.0,0.0,88,0,2,0,2,0,0,0,41,28.4,13.6,4.0,4.6,0,5,5396,8902,u,0.0,has joined Coventry City on loan for the rest of the season.,0.0,0.0
129,Yehor Yarmoliuk,Yarmoliuk,Brentford,Midfielder,5.0,77,2.6,0.1,0.8,2036,1,2,5,34,7,0,0,336,338.2,232.5,110.0,68.0,46,108,24438,21628,a,100.0,,0.8,1.3
130,Romelle Donovan,Donovan,Brentford,Midfielder,4.4,4,1.0,0.1,0.5,38,0,0,0,0,0,0,0,19,8.4,11.5,21.0,4.2,38,100,16603,19019,a,,,0.5,1.0
